PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,0,3,M,22.0,1,0,7.25,S
1,1,1,F,38.0,1,0,71.3,C
2,1,3,F,26.0,0,0,7.926,S
3,1,1,F,35.0,1,0,53.1,S
4,0,3,M,35.0,0,0,8.05,S
5,0,3,M,30.0,0,0,8.46,Q
6,0,1,M,54.0,0,0,51.88,S
7,0,3,M,2.0,3,1,21.08,S
8,1,3,F,27.0,0,2,11.13,S
9,1,2,F,14.0,1,0,30.08,C
10,1,3,F,4.0,1,1,16.7,S
11,1,1,F,58.0,0,0,26.55,S
12,0,3,M,20.0,0,0,8.05,S
13,0,3,M,39.0,1,5,31.28,S
14,0,3,F,14.0,0,0,7.855,S
15,1,2,F,55.0,0,0,16.0,S
16,0,3,M,2.0,4,1,29.12,Q
17,1,2,M,30.0,0,0,13.0,S
18,0,3,F,31.0,1,0,18.0,S
19,1,3,F,35.0,0,0,7.227,C
20,0,2,M,35.0,0,0,26.0,S
21,1,2,M,34.0,0,0,13.0,S
22,1,3,F,15.0,0,0,8.03,Q
23,1,1,M,28.0,0,0,35.5,S
24,0,3,F,8.0,3,1,21.08,S
25,1,3,F,38.0,1,5,31.39,S
26,0,3,M,30.0,0,0,7.227,C
27,0,1,M,19.0,3,2,263.0,S
28,1,3,F,21.0,0,0,7.88,Q
29,0,3,M,30.0,0,0,7.895,S
30,0,1,M,40.0,0,0,27.72,C
31,1,1,F,35.0,1,0,146.5,C
32,1,3,F,21.0,0,0,7.75,Q
33,0,2,M,66.0,0,0,10.5,S
34,0,1,M,28.0,1,0,82.2,C
35,0,1,M,42.0,1,0,52.0,S
36,1,3,M,30.0,0,0,7.23,C
37,0,3,M,21.0,0,0,8.05,S
38,0,3,F,18.0,2,0,18.0,S
39,1,3,F,14.0,1,0,11.24,C
40,0,3,F,40.0,1,0,9.48,S
41,0,2,F,27.0,1,0,21.0,S
42,0,3,M,30.0,0,0,7.895,C
43,1,2,F,3.0,1,2,41.6,C
44,1,3,F,19.0,0,0,7.88,Q
45,0,3,M,30.0,0,0,8.05,S
46,0,3,M,30.0,1,0,15.5,Q
47,1,3,F,21.0,0,0,7.75,Q
48,0,3,M,30.0,2,0,21.67,C
49,0,3,F,18.0,1,0,17.8,S
50,0,3,M,7.0,4,1,39.7,S
51,0,3,M,21.0,0,0,7.8,S
52,1,1,F,49.0,1,0,76.75,C
53,1,2,F,29.0,1,0,26.0,S
54,0,1,M,65.0,0,1,61.97,C
55,1,1,M,30.0,0,0,35.5,S
56,1,2,F,21.0,0,0,10.5,S
57,0,3,M,28.5,0,0,7.23,C
58,1,2,F,5.0,1,2,27.75,S
59,0,3,M,11.0,5,2,46.9,S
60,0,3,M,22.0,0,0,7.23,C
61,1,1,F,38.0,0,0,80.0,S
62,0,1,M,45.0,1,0,83.5,S
63,0,3,M,4.0,3,2,27.9,S
64,0,1,M,30.0,0,0,27.72,C
65,1,3,M,3.5,1,1,15.24,C
66,1,2,F,29.0,0,0,10.5,S
67,0,3,M,19.0,0,0,8.16,S
68,1,3,F,17.0,4,2,7.926,S
69,0,3,M,26.0,2,0,8.664,S
70,0,2,M,32.0,0,0,10.5,S
71,0,3,F,16.0,5,2,46.9,S
72,0,2,M,21.0,0,0,73.5,S
73,0,3,M,26.0,1,0,14.45,C
74,1,3,M,32.0,0,0,56.5,S
75,0,3,M,25.0,0,0,7.65,S
76,0,3,M,30.0,0,0,7.895,S
77,0,3,M,30.0,0,0,8.05,S
78,1,2,M,0.83,0,2,29.0,S
79,1,3,F,30.0,0,0,12.48,S
80,0,3,M,22.0,0,0,9.0,S
81,1,3,M,29.0,0,0,9.5,S
82,1,3,F,21.0,0,0,7.79,Q
83,0,1,M,28.0,0,0,47.1,S
84,1,2,F,17.0,0,0,10.5,S
85,1,3,F,33.0,3,0,15.85,S
86,0,3,M,16.0,1,3,34.38,S
87,0,3,M,30.0,0,0,8.05,S
88,1,1,F,23.0,3,2,263.0,S
89,0,3,M,24.0,0,0,8.05,S
90,0,3,M,29.0,0,0,8.05,S
91,0,3,M,20.0,0,0,7.855,S
92,0,1,M,46.0,1,0,61.2,S
93,0,3,M,26.0,1,2,20.58,S
94,0,3,M,59.0,0,0,7.25,S
95,0,3,M,30.0,0,0,8.05,S
96,0,1,M,71.0,0,0,34.66,C
97,1,1,M,23.0,0,1,63.34,C
98,1,2,F,34.0,0,1,23.0,S
99,0,2,M,34.0,1,0,26.0,S
100,0,3,F,28.0,0,0,7.895,S
101,0,3,M,30.0,0,0,7.895,S
102,0,1,M,21.0,0,1,77.3,S
103,0,3,M,33.0,0,0,8.66,S
104,0,3,M,37.0,2,0,7.926,S
105,0,3,M,28.0,0,0,7.895,S
106,1,3,F,21.0,0,0,7.65,S
107,1,3,M,30.0,0,0,7.773,S
108,0,3,M,38.0,0,0,7.895,S
109,1,3,F,21.0,1,0,24.16,Q
110,0,1,M,47.0,0,0,52.0,S
111,0,3,F,14.5,1,0,14.45,C
112,0,3,M,22.0,0,0,8.05,S
113,0,3,F,20.0,1,0,9.83,S
114,0,3,F,17.0,0,0,14.46,C
115,0,3,M,21.0,0,0,7.926,S
116,0,3,M,70.5,0,0,7.75,Q
117,0,2,M,29.0,1,0,21.0,S
118,0,1,M,24.0,0,1,247.5,C
119,0,3,F,2.0,4,2,31.28,S
120,0,2,M,21.0,2,0,73.5,S
121,0,3,M,30.0,0,0,8.05,S
122,0,2,M,32.5,1,0,30.08,C
123,1,2,F,32.5,0,0,13.0,S
124,0,1,M,54.0,0,1,77.3,S
125,1,3,M,12.0,1,0,11.24,C
126,0,3,M,30.0,0,0,7.75,Q
127,1,3,M,24.0,0,0,7.14,S
128,1,3,F,21.0,1,1,22.36,C
129,0,3,M,45.0,0,0,6.977,S
130,0,3,M,33.0,0,0,7.895,C
131,0,3,M,20.0,0,0,7.05,S
132,0,3,F,47.0,1,0,14.5,S
133,1,2,F,29.0,1,0,26.0,S
134,0,2,M,25.0,0,0,13.0,S
135,0,2,M,23.0,0,0,15.05,C
136,1,1,F,19.0,0,2,26.28,S
137,0,1,M,37.0,1,0,53.1,S
138,0,3,M,16.0,0,0,9.22,S
139,0,1,M,24.0,0,0,79.2,C
140,0,3,F,35.0,0,2,15.24,C
141,1,3,F,22.0,0,0,7.75,S
142,1,3,F,24.0,1,0,15.85,S
143,0,3,M,19.0,0,0,6.75,Q
144,0,2,M,18.0,0,0,11.5,S
145,0,2,M,19.0,1,1,36.75,S
146,1,3,M,27.0,0,0,7.797,S
147,0,3,F,9.0,2,2,34.38,S
148,0,2,M,36.5,0,2,26.0,S
149,0,2,M,42.0,0,0,13.0,S
150,0,2,M,51.0,0,0,12.52,S
151,1,1,F,22.0,1,0,66.6,S
152,0,3,M,55.5,0,0,8.05,S
153,0,3,M,40.5,0,2,14.5,S
154,0,3,M,30.0,0,0,7.312,S
155,0,1,M,51.0,0,1,61.38,C
156,1,3,F,16.0,0,0,7.734,Q
157,0,3,M,30.0,0,0,8.05,S
158,0,3,M,30.0,0,0,8.664,S
159,0,3,M,3.5,8,2,69.56,S
160,0,3,M,44.0,0,1,16.1,S
161,1,2,F,40.0,0,0,15.75,S
162,0,3,M,26.0,0,0,7.773,S
163,0,3,M,17.0,0,0,8.664,S
164,0,3,M,1.0,4,1,39.7,S
165,1,3,M,9.0,0,2,20.53,S
166,1,1,F,35.0,0,1,55.0,S
167,0,3,F,45.0,1,4,27.9,S
168,0,1,M,30.0,0,0,25.92,S
169,0,3,M,28.0,0,0,56.5,S
170,0,1,M,61.0,0,0,33.5,S
171,0,3,M,4.0,4,1,29.12,Q
172,1,3,F,1.0,1,1,11.13,S
173,0,3,M,21.0,0,0,7.926,S
174,0,1,M,56.0,0,0,30.7,C
175,0,3,M,18.0,1,1,7.855,S
176,0,3,M,3.5,3,1,25.47,S
177,0,1,F,50.0,0,0,28.72,C
178,0,2,M,30.0,0,0,13.0,S
179,0,3,M,36.0,0,0,0.0,S
180,0,3,F,21.0,8,2,69.56,S
181,0,2,M,30.0,0,0,15.05,C
182,0,3,M,9.0,4,2,31.39,S
183,1,2,M,1.0,2,1,39.0,S
184,1,3,F,4.0,0,2,22.03,S
185,0,1,M,30.0,0,0,50.0,S
186,1,3,F,35.0,1,0,15.5,Q
187,1,1,M,45.0,0,0,26.55,S
188,0,3,M,40.0,1,1,15.5,Q
189,0,3,M,36.0,0,0,7.895,S
190,1,2,F,32.0,0,0,13.0,S
191,0,2,M,19.0,0,0,13.0,S
192,1,3,F,19.0,1,0,7.855,S
193,1,2,M,3.0,1,1,26.0,S
194,1,1,F,44.0,0,0,27.72,C
195,1,1,F,58.0,0,0,146.5,C
196,0,3,M,30.0,0,0,7.75,Q
197,0,3,M,42.0,0,1,8.41,S
198,1,3,F,21.0,0,0,7.75,Q
199,0,2,F,24.0,0,0,13.0,S
200,0,3,M,28.0,0,0,9.5,S
201,0,3,M,30.0,8,2,69.56,S
202,0,3,M,34.0,0,0,6.496,S
203,0,3,M,45.5,0,0,7.227,C
